wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
nw|(masc des Ordinalbildungssuffixes)|Wb II S 213|(masc des Ordinalbildungssuffixes)
=j|ich (pron suff 1 sg)|Wb I S 25|ich (pron suff 1 sg)
=w|sie (3pl)|Edel: In: Z&Auml;S 84 S 17ff|sie (3pl)
=f|er (pron suff 3 masc sg)|Wb I S 572|er (pron suff 3 masc sg)
=fj|er (pron suff 3 masc dual)|Wb I S 572|er (pron suff 3 masc dual)
=n|wir (pron suff 1 pl)|Wb II S 194|wir (pron suff 1 pl)
=nj|wir beide (pron suff 1 dual)|Wb II S 200|wir beide (pron suff 1 dual)
=s|sie (pron suff 3 fem sg)|Wb IV S 1|sie (pron suff 3 fem sg)
=sn|sie (pron suff 3 pl)|Wb IV S 147|sie (pron suff 3 pl)
=k|du (pron suff 2 masc sg)|Wb V S 83|du (pron suff 2 masc sg)
=T|du (pron suff 2 fem sg)|Wb V S 337|du (pron suff 2 fem sg)
=Tn|ihr (pron suff 2 pl)|Wb V S 371|ihr (pron suff 2 pl)
A|Adler, Geier|Wb I S 1|Adler, Geier
A|doch (enkl Part)|Wb I S 1|doch (enkl Part)
A|betreten (einen Ort)|Wb I S 1|betreten (einen Ort)
At|[Kopfschmuck]|Wb I S 1|[Kopfschmuck]
At|Zeit|Wb I S 1|Zeit
At|Kraft|Wb I S 2|Kraft
At|(= {jAt}) Ort, St&auml;tte|Wb I S 2|(= {jAt}) Ort, Staette
At|(= {jAt}) R&uuml;cken|Wb I S 2|(= {jAt}) Ruecken
At|(= {jAt}) Tragstange|Wb I S 2|(= {jAt}) Tragstange
AA|Ruine|Wb I S 2|Ruine
AAt|(= {jAAt}) [Keule]|Wb I S 2|(= {jAAt}) [Keule]
AAtjw|[Bezeichnung eines Emp&ouml;rers]|Wb I S 2|[Bezeichnung eines Empoerers]
Aj|Binde (med)|Wb I S 2|Binde (med)
Ajt-Hr|Scheu|Wb I S 2|Scheu
Ajw|[atmosph&auml;risches Ph&auml;nomen:] Wind(?), Windsto&szlig;(?)]|RdE 30 (1978) S 10; Meeks: AL 780004|[atmosphaerisches Phaenomen:] Wind(?), Windstoss(?)]
Ajs|Gehirn|Wb I S 2|Gehirn
Ajjt|[Gottheit:] die Bandweberin(?)]|Meeks: AL 780005|[Gottheit:] die Bandweberin(?)]
Aaj|Kraft|Wb I S 2|Kraft
Aaa|bauen|Wb I S 2|bauen
Aaa|beschuldigen|Wb I S 2|beschuldigen
Aaa|[Berufsbezeichnung]|Wb I S 2|[Berufsbezeichnung]
Aaa|Dolmetscher|Wb I S 3|Dolmetscher
Aaa|(Verbum)|Wb I S 3|(Verbum)
Aaa|(= {ja}) Grab|Wb I S 3|(= {ja}) Grab
Aaa|[offizinell Verwendetes]|Wb I S 3|[offizinell Verwendetes]
Aaa|[Baum]|RdE 29 (1977) S 5; Meeks: AL 770009|[Baum]
Aaat|Gef&auml;&szlig;|Wb I S 3|Gefaess
Aaatjj|davonfliegen, sich erheben(?)|RdE 29 (1977) S 5; Meeks: AL 770011|davonfliegen, sich erheben(?)
Aaw|Futteral f&uuml;r Schreibzeug|Wb I S 3|Futteral fuer Schreibzeug
Aaw|[Teil eines Tempels]|Wb I S 3|[Teil eines Tempels]
Aaw|[Substantiv]|Meeks: AL 780007|[Substantiv]
Aabt|Sch&auml;digung|Wb I S 3|Schaedigung
Aabw|[G&ouml;tter der Unterwelt:] die Unterdr&uuml;cker(?)]|Meeks: AL 780008|[Goetter der Unterwelt:] die Unterdruecker(?)]
Aas|[Ger&auml;t]|Wb I S 3|[Geraet]
Aw|L&auml;nge|Wb I S 4|Laenge
Aw|jemanden anmelden|Wb I S 5|jemanden anmelden
Aw|Todesfall|Wb I S 5|Todesfall
Aw|(= {jw}) B&ouml;ses|Wb I S 5|(= {jw}) Boeses
Awt|L&auml;nge|Wb I S 4|Laenge
Awt|Spende|Wb I S 5|Spende
Awt|Altar|Wb I S 5|Altar
Awt|[Tempelgemach]|Wb I S 5|[Tempelgemach]
Awt-jb|Fr&ouml;hlichkeit|Wb I S 4|Froehlichkeit
Awt-jb|[Amulett]|Wb I S 4|[Amulett]
Awt-jb|[Myrrhe]|Wb I S 5|[Myrrhe]
Awt-a|Geschenk|Wb I S 5|Geschenk
Aw-hmhm|[Beiname des Horus von Edfu]|Wb II S 491|[Beiname des Horus von Edfu]
Aw-HApt|[Dendera]|Wb III S 31|[Dendera]
